EPISODE #, EPISODE TITLE, BOOK TITLE, AUTHOR, ISBN/ASIN, AMAZON LINK,
1, New Beginnings," ""Up Late with Joe Franklin""", Joe Franklin,25407759, http://www.amazon.com/dp/0025407759,
2, Small Scale Sin," ""We are all the Black Boy""", Michael Warr, 096242871X, https://www.amazon.com/dp/096242871X,
2, Small Scale Sin," ""A Clockwork Orange""", Anthony Burgess,393312836, https://www.amazon.com/dp/0393312836/,
3, Poultry Slam 1995," ""Vibration Cooking: or"," The Travel Notes of a Geechee Girl""", Vertamae Smart-Grosvenor,820337390, https://www.amazon.com/dp/0820337390
3, Poultry Slam 1995," ""Barrel Fever: Stories and Essays""", David Sedaris,316779423, https://www.amazon.com/dp/0316779423/,
4, Vacations," ""Depth Takes a Holiday""", Sandra Tsing Loh,1573226114, https://www.amazon.com/dp/1573226114/,
4, Vacations," ""Barrel Fever: Stories and Essays""", David Sedaris,316779423, https://www.amazon.com/dp/0316779423/,
4, Vacations," ""Naked""", David Sedaris,31677773, https://www.amazon.com/dp/0316777730/,
6, Christmas," ""Sweetbitter""", Reginald Gibbons,140252428, https://www.amazon.com/dp/0140252428,
7, Quitting," ""The Quit""", Evan Harris, 0684814773/, https://www.amazon.com/dp/0684814773,
7, Quitting," ""Crossing with the Light""", Dwight Okita,962428795, ,
9, Julia Sweeney," ""God Said Ha! : A Memoir""", Julia Sweeney,553379232,,
10, Double Lives," ""Anonymity"" ", Susan Bergman,374254079,,
11, Enemies, "The Prince",  Niccolò Machiavelli, 0486272745,,
12, Animals, "Food Chain: Encounters Between Mates, Predators, and Prey", Catherine Chalmers, 0893819107,,
,,"Running After Antelope", Scott Carrier, 1582431795,,
13, Love, "The Prophet", Kahlil Gibran, 0394404289,,
15, Dawn, "Golden Boats to Burma", Gordon Langley Hall, B000NPL11E,,
,,"A Turn in the South", V. S. Naipaul, 0679724885,,
17, Name Change / No Theme,"Science Fiction Audiences: Watching Star Trek and Doctor Who", Henry Jenkins and John Tulloch, B000OT7XX4, , 
,, "A Place at the Table", Bruce Bawers, 0671894390, ,
19, Rich Guys, "Liars Poker", Michael Lewis, B003B12P62,,
,,"Elvis Presley is Alive and Well and Living in Harlem", Brian Gilmore, 0883780046
20, From A Distance, "Miles: The Autobiography", Miles Davis and Quincy Troupe, ,
,, "Avalanche", Quincy Troupe, 1566890446,
